1.44032,5.68217,2.81847,
0.907662,1.53048,5.0707,
0.328817,0.76833,3.23216,
0.94158,1.90742,2.09899,
0.462698,2.36436,1.35671,
0.259025,0.721098,3.80787,
0.722383,2.55108,5.50945,
1.07794,2.34375,2.10119,
1.0862,5.31208,0.752697,
1.13719,1.90526,4.88114,
0.838616,3.52155,1.34818,
1.67235,5.06644,1.87993,
0.653754,6.17464,3.47271,
0.412051,2.01923,2.16723,
1.04629,0.0943697,5.38949,
1.52636,0.701914,0.26108,
1.40818,5.3141,2.13829,
1.18293,6.14092,0.0774022,
1.45744,1.46575,5.97127,
0.923235,1.43222,6.15994,
0.974605,2.3751,1.10885,
1.19844,6.09959,2.61779,
0.464403,1.95234,0.935064,
1.41705,1.38359,0.0323072,
1.50257,1.63428,3.50717,
1.52212,4.48945,1.41105,
0.499642,2.6005,6.01694,
1.50788,0.43634,2.24239,
1.80163,6.21658,5.60189,
0.959725,2.14359,3.82228,
1.4667,1.75887,6.09897,
1.69382,6.24524,1.4996,
1.33825,5.722,2.87381,
1.57813,4.95437,1.00479,
1.54958,5.71656,2.75894,
0.63663,3.71991,0.795853,
1.64543,2.86648,3.72325,
1.07068,2.02534,3.26707,
1.03528,6.25388,5.45949,
0.0243131,0.89701,3.76393,
